idx	weapon	skin	keychain	scope	background

1.png	deagle         None disco     dot       purple    
2186.png	spaz           1    None      dot       blue      
2187.png	l96            7    None      dot       purple    
2188.png	deagle         3    None      None      blue      
2189.png	revolver       7    leaf      acog      green     
2190.png	mp5            None None      acog      purple    
2191.png	ak47           4    pinata    None      green     
2192.png	l96            7    dice      None      purple    
2193.png	hunting_rifle  3    leaf      dot       green     
2194.png	hunting_rifle  None None      thermal   purple    
2195.png	revolver       None None      dot       blue      
2196.png	deagle         3    dice      acog      green     
2197.png	tar            4    None      acog      red       
2198.png	spaz           None medal     dot       blue      
2199.png	spaz           1    leaf      acog      blue      
2200.png	spaz           5    leaf      None      purple    
2201.png	deagle         8    leaf      holo      purple    
2202.png	l96            1    dice      acog      blue      
2203.png	p90            8    None      acog      purple    
2204.png	revolver       6    leaf      None      green     
2205.png	deagle         4    dice      acog      blue      
2206.png	deagle         5    None      dot       green     
2207.png	deagle         6    None      None      blue      
2208.png	deagle         4    leaf      holo      green     
2209.png	hunting_rifle  None pinata    holo      purple    
2210.png	db             7    None      dot       green     
2211.png	deagle         2    None      None      blue      
2212.png	revolver       5    None      None      red       
2213.png	mp5            1    dice      dot       purple    
2214.png	deagle         3    None      None      purple    
2215.png	revolver       None disco     dot       green     
2216.png	hunting_rifle  1    None      dot       red       
2217.png	spaz           None None      thermal   blue      
2218.png	hunting_rifle  5    pinata    None      green     
2219.png	db             None disco     None      blue      
2220.png	db             None leaf      acog      red       
2221.png	revolver       3    disco     acog      blue      
2222.png	mp5            None leaf      acog      green     
2223.png	db             3    medal     thermal   green     
2224.png	db             6    None      holo      blue      
2225.png	revolver       4    None      holo      blue      
2226.png	deagle         4    dice      acog      red       
2227.png	mp5            5    None      dot       green     
2228.png	mp5            5    None      acog      blue      
2229.png	deagle         None disco     acog      blue      
2230.png	deagle         1    dice      None      green     
2231.png	deagle         2    leaf      None      green     
2232.png	deagle         8    None      holo      blue      
2233.png	spaz           1    None      dot       blue      
2234.png	deagle         1    disco     dot       green     
2235.png	spaz           1    leaf      acog      blue      
2236.png	mp5            3    None      None      green     
2237.png	mp5            5    None      None      red       
2238.png	spaz           1    leaf      acog      purple    
2239.png	deagle         5    None      dot       purple    
2240.png	db             7    None      thermal   blue      
2241.png	revolver       1    leaf      acog      purple    
2242.png	deagle         6    None      holo      red       
2243.png	db             None None      holo      green     
2244.png	spaz           5    pinata    acog      blue      
2245.png	revolver       2    leaf      None      purple    
2246.png	revolver       6    leaf      acog      purple    
2247.png	revolver       4    leaf      None      blue      
2248.png	deagle         8    leaf      acog      green     
2249.png	revolver       5    dice      dot       green     
2250.png	ak47           6    None      dot       green     
2251.png	spaz           None None      None      blue      
2252.png	revolver       None disco     acog      blue      
2253.png	revolver       None None      None      red       
2254.png	mp5            6    None      dot       blue      
2255.png	mp5            1    medal     None      green     
2256.png	deagle         7    dice      holo      green     
2257.png	db             1    leaf      None      red       
2258.png	db             3    disco     acog      blue      
2259.png	spaz           None leaf      thermal   blue      
2260.png	deagle         7    disco     dot       green     
2261.png	ak47           5    leaf      acog      blue      
2262.png	revolver       1    pinata    None      red       
2263.png	p90            5    None      acog      green     
2264.png	spaz           None None      acog      blue      
2265.png	p90            None dice      holo      blue      
2266.png	rpg            6    None      acog      purple    
2267.png	spaz           4    None      holo      blue      
2268.png	l96            None None      thermal   blue      
2269.png	revolver       7    None      dot       purple    
2270.png	db             7    disco     holo      blue      
2271.png	revolver       7    None      None      green     
2272.png	deagle         6    disco     None      green     
2273.png	revolver       5    None      dot       purple    
2274.png	mp5            None None      holo      red       
2275.png	p90            None None      acog      green     
2276.png	db             6    leaf      None      green     
2277.png	db             3    None      dot       green     
2278.png	deagle         6    leaf      dot       green     
2279.png	mp5            None disco     acog      green     
2280.png	p90            None leaf      dot       green     
2281.png	revolver       6    None      dot       green     
2282.png	rpg            7    medal     dot       green     
2283.png	spaz           4    None      acog      green     
2284.png	p90            None leaf      None      blue      
2285.png	deagle         3    leaf      None      blue      
2286.png	mp5            2    None      dot       green     
2287.png	revolver       None None      None      green     
2288.png	l96            7    disco     dot       blue      
2289.png	mp5            1    None      None      blue      
2290.png	spaz           6    None      thermal   green     
2291.png	p90            4    None      acog      green     
2292.png	revolver       3    disco     None      green     
2293.png	deagle         None dice      acog      purple    
2294.png	db             3    disco     acog      purple    
2295.png	deagle         2    leaf      None      green     
2296.png	revolver       1    dice      dot       red       
2297.png	spaz           None None      dot       green     
2298.png	revolver       None None      dot       purple    
2299.png	db             None dice      holo      blue      
2300.png	p90            6    None      None      blue      
2301.png	hunting_rifle  4    medal     dot       green     
2302.png	db             7    None      thermal   blue      
2303.png	l96            1    leaf      dot       purple    
2304.png	spaz           5    medal     dot       green     
2305.png	db             7    None      dot       green     
2306.png	spaz           6    None      dot       purple    
2307.png	db             1    None      None      green     
2308.png	deagle         4    dice      dot       purple    
2309.png	spaz           3    pinata    holo      green     
2310.png	db             2    leaf      acog      purple    
2311.png	revolver       None leaf      thermal   green     
2312.png	revolver       4    disco     dot       blue      
2313.png	revolver       2    None      acog      green     
2314.png	p90            None leaf      None      green     
2315.png	mp5            None dice      dot       purple    
2316.png	mp5            2    leaf      None      green     
2317.png	deagle         8    medal     holo      green     
2318.png	l96            None leaf      dot       blue      
2319.png	deagle         1    None      acog      green     
2320.png	spaz           2    pinata    dot       green     
2321.png	deagle         1    dice      None      green     
2322.png	mp5            6    dice      None      green     
2323.png	revolver       1    leaf      dot       purple    
2324.png	deagle         6    pinata    None      blue      
2325.png	db             None medal     holo      purple    
2326.png	p90            3    None      holo      green     
2327.png	db             3    None      None      blue      
2328.png	spaz           6    None      None      blue      
2329.png	mp5            2    leaf      None      green     
