idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
3897.png	p90            6    None      None      red       
3898.png	hunting_rifle  2    disco     acog      green     
3899.png	l96            4    medal     acog      green     
3900.png	rpg            1    disco     dot       green     
3901.png	hunting_rifle  2    None      None      purple    
3902.png	revolver       2    None      None      blue      
3903.png	p90            1    None      None      blue      
3904.png	revolver       2    None      holo      green     
3905.png	tar            3    leaf      acog      blue      
3906.png	mp5            5    pinata    None      blue      
3907.png	db             None disco     acog      green     
3908.png	db             4    None      acog      green     
3909.png	p90            1    None      None      blue      
3910.png	mp5            1    None      holo      green     
3911.png	l96            4    leaf      dot       green     
3912.png	deagle         1    None      None      purple    
3913.png	l96            None None      acog      blue      
3914.png	hunting_rifle  5    leaf      holo      blue      
3915.png	db             4    pinata    acog      blue      
3916.png	db             8    medal     None      green     
3917.png	spaz           None None      acog      blue      
3918.png	hunting_rifle  None leaf      dot       blue      
3919.png	hunting_rifle  2    pinata    None      blue      
3920.png	hunting_rifle  2    None      dot       purple    
3921.png	deagle         6    disco     dot       green     
3922.png	revolver       7    None      dot       red       
3923.png	mp5            2    None      thermal   green     
3924.png	ak47           1    None      dot       green     
3925.png	p90            8    None      holo      purple    
3926.png	hunting_rifle  1    dice      None      blue      
3927.png	mp5            1    None      acog      blue      
3928.png	spaz           None disco     None      blue      
3929.png	p90            6    None      None      blue      
3930.png	deagle         5    pinata    None      green     
3931.png	spaz           2    leaf      holo      blue      
3932.png	hunting_rifle  3    leaf      holo      purple    
3933.png	deagle         2    None      None      blue      
3934.png	mp5            3    None      None      red       
3935.png	rpg            4    None      None      blue      
3936.png	deagle         1    leaf      dot       blue      
3937.png	db             None medal     dot       blue      
3938.png	rpg            6    None      acog      green     
3939.png	deagle         6    None      holo      red       
3940.png	tar            3    dice      acog      green     
3941.png	revolver       6    None      None      blue      
3942.png	spaz           7    None      thermal   blue      
3943.png	mp5            7    None      None      purple    
3944.png	revolver       4    None      None      blue      
3945.png	l96            3    leaf      None      green     
3946.png	revolver       4    None      None      blue      
3947.png	db             1    disco     holo      green     
3948.png	p90            5    None      dot       green     
3949.png	spaz           2    None      acog      green     
3950.png	p90            4    medal     dot       green     
3951.png	db             8    dice      acog      red       
3952.png	p90            1    None      None      blue      
3953.png	l96            7    dice      dot       purple    
3954.png	tar            1    None      None      green     
3955.png	spaz           None None      dot       blue      
3956.png	revolver       2    leaf      None      blue      
3957.png	db             3    None      acog      green     
3958.png	deagle         None medal     holo      blue      
3959.png	hunting_rifle  4    leaf      dot       blue      
3960.png	mp5            None medal     acog      purple    
3961.png	db             1    medal     dot       blue      
3962.png	hunting_rifle  1    disco     None      red       
3963.png	p90            1    None      None      blue      
3964.png	deagle         2    None      thermal   blue      
3965.png	deagle         6    None      acog      red       
3966.png	revolver       6    None      None      green     
3967.png	tar            1    None      acog      blue      
3968.png	deagle         5    leaf      None      green     
3969.png	spaz           1    dice      acog      purple    
3970.png	revolver       6    leaf      thermal   green     
3971.png	db             6    None      None      red       
3972.png	p90            1    None      acog      blue      
3973.png	revolver       4    dice      dot       green     
3974.png	p90            4    None      dot       blue      
3975.png	revolver       2    None      None      green     
3976.png	mp5            4    dice      None      blue      
3977.png	db             1    disco     acog      blue      
3978.png	revolver       None leaf      dot       red       
3979.png	revolver       5    disco     dot       green     
3980.png	deagle         1    None      holo      green     
3981.png	mp5            1    dice      holo      purple    
3982.png	mp5            None None      acog      blue      
3983.png	ak47           2    None      None      green     
3984.png	hunting_rifle  1    None      dot       blue      
3985.png	hunting_rifle  7    leaf      acog      blue      
3986.png	db             6    None      dot       blue      
3987.png	mp5            None pinata    thermal   purple    
3988.png	p90            4    None      None      red       
3989.png	ak47           5    leaf      None      blue      
3990.png	l96            None None      dot       green     
3991.png	rpg            None leaf      None      green     
3992.png	db             7    None      dot       green     
3993.png	db             2    medal     acog      green     
3994.png	mp5            8    None      None      green     
3995.png	mp5            4    leaf      None      red       
3996.png	spaz           1    None      None      green     
3997.png	deagle         4    disco     dot       green     
3998.png	deagle         6    leaf      dot       green     
3999.png	l96            None dice      acog      blue      
4000.png	rpg            None dice      dot       blue      
4001.png	mp5            1    leaf      dot       purple    
4002.png	db             None dice      holo      purple    
4003.png	db             7    leaf      holo      purple    
4004.png	spaz           2    disco     acog      purple    
4005.png	spaz           2    None      acog      green     
4006.png	revolver       1    leaf      None      blue      
4007.png	spaz           1    None      holo      green     
4008.png	revolver       7    medal     acog      blue      
4009.png	rpg            3    disco     dot       green     
4010.png	hunting_rifle  3    medal     dot       blue      
4011.png	db             7    leaf      None      blue      
4012.png	revolver       4    leaf      None      blue      
4013.png	db             3    leaf      None      green     
4014.png	mp5            4    medal     dot       green     
4015.png	db             5    None      thermal   purple    
4016.png	p90            3    None      None      green     
4017.png	revolver       1    disco     dot       green     
4018.png	revolver       2    None      holo      green     
4019.png	deagle         None None      holo      green     
4020.png	deagle         None None      dot       green     
4021.png	hunting_rifle  None disco     None      blue      
4022.png	revolver       2    disco     None      green     
4023.png	deagle         None None      None      red       
4024.png	spaz           1    None      acog      green     
4025.png	deagle         7    None      None      blue      
4026.png	db             2    dice      None      blue      
4027.png	mp5            None leaf      acog      blue      
4028.png	revolver       2    leaf      dot       green     
4029.png	db             4    None      dot       green     
4030.png	p90            6    medal     None      purple    
4031.png	mp5            7    leaf      None      green     
4032.png	revolver       7    None      None      green     
4033.png	p90            1    dice      holo      blue      
4034.png	rpg            4    medal     holo      green     
4035.png	deagle         None leaf      holo      green     
4036.png	db             None None      holo      green     
4037.png	mp5            7    None      thermal   green     
4038.png	hunting_rifle  8    disco     acog      blue      
4039.png	db             None None      None      green     
4040.png	hunting_rifle  5    dice      None      blue      
4041.png	ray_gun        None pinata    None      green     
4042.png	rpg            7    pinata    None      green     
4043.png	deagle         5    dice      None      green     
4044.png	spaz           5    disco     None      blue      
4045.png	mp5            2    None      None      purple    
4046.png	l96            7    disco     holo      blue      
4047.png	p90            2    disco     None      green     
4048.png	p90            7    None      holo      green     
4049.png	mp5            7    None      dot       green     
4050.png	deagle         7    None      None      green     
4051.png	db             1    medal     dot       green     
4052.png	db             1    leaf      dot       blue      
4053.png	revolver       4    None      acog      blue      
4054.png	p90            7    medal     dot       green     
4055.png	mp5            1    None      dot       blue      
4056.png	mp5            2    None      dot       green     
4057.png	deagle         6    None      None      red       
4058.png	l96            3    None      None      blue      
4059.png	deagle         5    None      acog      blue      
4060.png	spaz           2    None      dot       green     
4061.png	db             1    None      dot       green     
4062.png	revolver       None None      holo      blue      
4063.png	p90            1    pinata    None      green     
4064.png	db             2    disco     None      blue      
4065.png	deagle         7    None      thermal   green     
4066.png	hunting_rifle  3    leaf      None      purple    
4067.png	hunting_rifle  None None      dot       green     
4068.png	tar            1    None      thermal   blue      
4069.png	db             8    medal     None      purple    
4070.png	db             8    None      thermal   green     
4071.png	revolver       6    leaf      None      green     
4072.png	p90            None None      holo      purple    
4073.png	l96            6    None      None      green     
4074.png	mp5            None leaf      holo      green     
4075.png	hunting_rifle  8    leaf      None      blue      
4076.png	hunting_rifle  None None      acog      blue      
4077.png	db             3    None      dot       blue      
4078.png	p90            6    disco     dot       green     
4079.png	rpg            6    dice      acog      green     
4080.png	l96            7    None      dot       blue      
4081.png	deagle         3    disco     holo      green     
4082.png	db             4    medal     dot       blue      
4083.png	p90            None None      dot       green     
4084.png	deagle         1    dice      acog      purple    
4085.png	l96            1    disco     holo      purple    
4086.png	l96            3    None      holo      green     
4087.png	revolver       None dice      dot       blue      
4088.png	mp5            None dice      acog      blue      
4089.png	mp5            6    None      None      blue      
4090.png	mp5            5    None      dot       green     
4091.png	db             8    medal     dot       blue      
4092.png	revolver       4    None      holo      blue      
4093.png	l96            6    None      dot       green     
4094.png	db             7    dice      None      green     
4095.png	mp5            7    pinata    dot       blue      
4096.png	revolver       7    dice      acog      blue      
4097.png	mp5            6    leaf      dot       red       
4098.png	hunting_rifle  None leaf      None      green     
4099.png	p90            None leaf      acog      green     
4100.png	ak47           None None      dot       blue      
4101.png	spaz           1    None      None      green     
4102.png	l96            1    None      None      red       
4103.png	p90            7    None      holo      blue      
4104.png	ray_gun        None None      None      green     
4105.png	mp5            2    leaf      acog      blue      
4106.png	deagle         5    None      acog      blue      
4107.png	p90            2    disco     holo      green     
4108.png	hunting_rifle  1    None      acog      blue      
4109.png	p90            8    None      None      green     
4110.png	db             8    leaf      dot       blue      
4111.png	spaz           7    leaf      holo      green     
4112.png	deagle         None None      None      blue      
4113.png	hunting_rifle  6    None      None      purple    
4114.png	p90            None None      None      red       
4115.png	deagle         2    None      holo      blue      
4116.png	mp5            None None      None      green     
4117.png	ak47           None dice      None      green     
4118.png	spaz           6    None      thermal   green     
4119.png	hunting_rifle  5    None      None      green     
4120.png	hunting_rifle  4    None      holo      blue      
4121.png	deagle         2    None      None      blue      
4122.png	revolver       None dice      None      blue      
4123.png	p90            4    pinata    dot       red       
4124.png	hunting_rifle  None None      None      blue      
4125.png	tar            7    None      dot       green     
4126.png	revolver       None None      acog      blue      
4127.png	hunting_rifle  3    None      None      green     
4128.png	deagle         5    disco     dot       green     
4129.png	deagle         2    None      acog      green     
4130.png	revolver       2    dice      None      purple    
4131.png	p90            6    leaf      None      blue      
4132.png	hunting_rifle  2    None      holo      green     
4133.png	mp5            None None      dot       blue      
4134.png	l96            4    None      acog      green     
4135.png	hunting_rifle  7    disco     None      blue      
4136.png	p90            7    None      holo      green     
4137.png	deagle         None None      None      blue      
4138.png	p90            None None      None      blue      
4139.png	db             2    leaf      acog      green     
4140.png	ak47           5    None      None      blue      
4141.png	ak47           None None      None      green     
4142.png	db             4    None      None      green     
4143.png	deagle         2    None      holo      green     
4144.png	ray_gun        None medal     None      blue      
4145.png	mp5            2    None      None      green     
4146.png	spaz           4    None      None      green     
4147.png	mp5            7    None      None      purple    
4148.png	revolver       4    None      dot       green     
4149.png	mp5            None leaf      dot       red       
4150.png	p90            None disco     None      purple    
4151.png	l96            None None      dot       green     
4152.png	mp5            None leaf      thermal   blue      
4153.png	revolver       3    None      dot       red       
4154.png	ak47           2    None      dot       blue      
4155.png	deagle         2    disco     None      purple    
4156.png	db             2    None      acog      green     
4157.png	p90            7    None      None      purple    
4158.png	hunting_rifle  4    leaf      dot       green     
4159.png	revolver       7    None      holo      green     
4160.png	revolver       2    None      None      purple    
4161.png	revolver       5    None      None      green     
4162.png	mp5            None None      acog      red       
4163.png	deagle         1    disco     holo      blue      
4164.png	tar            5    disco     acog      green     
4165.png	revolver       4    leaf      None      blue      
4166.png	tar            1    medal     dot       green     
4167.png	deagle         8    None      None      green     
4168.png	l96            4    None      None      blue      
4169.png	db             4    None      holo      blue      
4170.png	revolver       5    None      holo      blue      
4171.png	l96            None None      dot       blue      
4172.png	mp5            None pinata    dot       blue      
4173.png	deagle         5    None      holo      green     
4174.png	deagle         5    None      acog      blue      
4175.png	mp5            6    None      holo      blue      
4176.png	hunting_rifle  4    leaf      None      red       
4177.png	l96            2    leaf      acog      blue      
4178.png	rpg            6    leaf      None      green     
4179.png	mp5            7    None      dot       green     
4180.png	hunting_rifle  2    None      holo      blue      
4181.png	spaz           3    dice      None      blue      
4182.png	revolver       None dice      dot       blue      
4183.png	hunting_rifle  5    None      dot       blue      
4184.png	mp5            2    disco     dot       blue      
4185.png	rpg            None None      acog      blue      
4186.png	mp5            6    leaf      dot       blue      
4187.png	l96            1    pinata    dot       green     
4188.png	revolver       3    disco     acog      purple    
4189.png	spaz           6    leaf      None      green     
4190.png	p90            4    pinata    acog      purple    
4191.png	deagle         7    disco     None      green     
4192.png	db             6    disco     dot       green     
4193.png	spaz           1    dice      holo      green     
4194.png	deagle         3    None      acog      green     
4195.png	ak47           6    pinata    dot       blue      
4196.png	db             7    leaf      acog      green     
4197.png	p90            5    dice      None      purple    
4198.png	l96            1    dice      None      purple    
4199.png	l96            3    pinata    dot       green     
4200.png	deagle         2    pinata    dot       green     
4201.png	revolver       3    leaf      None      green     
4202.png	deagle         1    dice      None      blue      
4203.png	rpg            2    None      holo      green     
4204.png	hunting_rifle  3    None      thermal   green     
4205.png	spaz           2    None      None      purple    
4206.png	spaz           4    None      dot       blue      
4207.png	rpg            None None      holo      blue      
4208.png	mp5            3    medal     acog      green     
4209.png	l96            7    None      dot       blue      
4210.png	db             4    leaf      acog      green     
4211.png	db             2    leaf      None      green     
4212.png	l96            1    leaf      acog      blue      
4213.png	mp5            3    leaf      None      purple    
4214.png	l96            3    None      dot       blue      
4215.png	spaz           5    dice      None      purple    
4216.png	p90            1    None      holo      blue      
4217.png	db             None None      holo      green     
4218.png	revolver       1    None      None      blue      
4219.png	db             3    None      dot       blue      
4220.png	db             6    disco     None      green     
4221.png	revolver       None leaf      None      blue      
4222.png	deagle         None None      holo      green     
4223.png	spaz           5    disco     acog      green     
4224.png	spaz           5    leaf      holo      green     
4225.png	revolver       8    None      acog      green     
4226.png	hunting_rifle  6    None      dot       green     
4227.png	deagle         None leaf      None      blue      
4228.png	deagle         5    None      holo      green     
4229.png	db             4    disco     None      blue      
4230.png	ray_gun        None dice      holo      green     
4231.png	revolver       2    leaf      holo      green     
4232.png	db             7    pinata    None      green     
4233.png	spaz           4    None      None      blue      
4234.png	spaz           7    pinata    acog      blue      
4235.png	tar            7    disco     acog      blue      
4236.png	deagle         6    None      None      purple    
4237.png	revolver       2    leaf      holo      purple    
4238.png	hunting_rifle  1    disco     thermal   green     
4239.png	l96            1    leaf      None      green     
4240.png	revolver       1    leaf      holo      blue      
4241.png	db             4    leaf      None      blue      
4242.png	mp5            1    None      None      green     
4243.png	revolver       8    None      None      blue      
4244.png	revolver       5    disco     None      blue      
4245.png	spaz           1    leaf      acog      purple    
4246.png	hunting_rifle  4    None      dot       green     
4247.png	revolver       None None      None      green     
4248.png	db             2    disco     dot       purple    
4249.png	hunting_rifle  3    pinata    None      purple    
4250.png	deagle         4    disco     dot       blue      
4251.png	p90            8    leaf      acog      green     
4252.png	ray_gun        6    leaf      None      green     
4253.png	revolver       None disco     acog      purple    
4254.png	l96            None None      None      blue      
4255.png	revolver       1    None      None      blue      
4256.png	mp5            6    leaf      dot       purple    
4257.png	spaz           3    medal     acog      green     
4258.png	mp5            5    None      acog      green     
4259.png	db             6    None      None      purple    
4260.png	mp5            5    leaf      thermal   blue      
4261.png	l96            2    disco     thermal   green     
4262.png	p90            4    None      None      purple    
4263.png	db             1    leaf      acog      green     
4264.png	revolver       3    medal     holo      purple    
4265.png	db             None disco     dot       green     
4266.png	deagle         3    disco     acog      blue      
4267.png	mp5            4    dice      acog      red       
4268.png	mp5            5    dice      holo      green     
4269.png	db             1    None      acog      blue      
4270.png	deagle         7    None      dot       blue      
4271.png	p90            2    None      None      green     
4272.png	hunting_rifle  1    None      acog      blue      
4273.png	ak47           6    None      thermal   purple    
4274.png	hunting_rifle  2    disco     acog      green     
4275.png	spaz           6    leaf      None      blue      
4276.png	rpg            7    None      dot       green     
4277.png	db             1    None      None      blue      
4278.png	revolver       6    None      thermal   purple    
4279.png	mp5            1    None      None      green     
4280.png	p90            None leaf      dot       purple    
4281.png	db             3    leaf      dot       purple    
4282.png	revolver       None leaf      None      green     
4283.png	p90            7    leaf      None      purple    
4284.png	mp5            3    None      holo      blue      
4285.png	ak47           5    dice      None      blue      
4286.png	p90            None dice      None      blue      
4287.png	spaz           7    dice      None      blue      
4288.png	revolver       3    None      acog      purple    
4289.png	deagle         6    None      dot       green     
4290.png	hunting_rifle  1    None      None      green     
4291.png	revolver       8    dice      holo      green     
4292.png	db             3    None      dot       green     
4293.png	revolver       3    dice      dot       green     
4294.png	spaz           1    None      acog      green     
4295.png	deagle         None leaf      acog      blue      
4296.png	revolver       3    medal     holo      blue      
4297.png	p90            3    None      acog      blue      
4298.png	p90            8    None      None      blue      
4299.png	deagle         4    disco     dot       green     
4300.png	revolver       3    pinata    acog      purple    
4301.png	deagle         1    dice      thermal   blue      
4302.png	deagle         3    None      acog      green     
4303.png	p90            1    disco     None      blue      
4304.png	revolver       None None      acog      green     
4305.png	l96            2    leaf      holo      purple    
4306.png	ak47           6    pinata    dot       green     
4307.png	hunting_rifle  4    None      acog      green     
4308.png	db             6    disco     None      green     
4309.png	revolver       None dice      holo      green     
4310.png	p90            1    None      holo      blue      
4311.png	hunting_rifle  7    None      dot       green     
4312.png	mp5            6    None      holo      red       
4313.png	mp5            2    disco     None      green     
4314.png	mp5            2    None      acog      green     
4315.png	revolver       2    None      holo      purple    
4316.png	mp5            2    None      None      red       
4317.png	l96            None medal     holo      blue      
4318.png	l96            None None      None      blue      
4319.png	l96            5    leaf      None      green     
4320.png	p90            1    leaf      dot       green     
4321.png	revolver       2    None      None      blue      
4322.png	p90            3    dice      None      purple    
4323.png	revolver       None medal     acog      blue      
4324.png	deagle         1    leaf      holo      blue      
4325.png	mp5            4    None      None      blue      
4326.png	spaz           None dice      dot       green     
4327.png	l96            1    leaf      dot       blue      
4328.png	revolver       3    medal     acog      red       
4329.png	db             1    None      None      green     
4330.png	mp5            None None      dot       blue      
4331.png	p90            4    disco     None      purple    
4332.png	p90            2    None      holo      green     
4333.png	db             5    None      dot       blue      
4334.png	db             6    disco     dot       blue      
4335.png	p90            2    None      None      blue      
4336.png	deagle         6    None      dot       blue      
4337.png	db             4    None      None      green     
4338.png	db             2    None      None      green     
4339.png	mp5            5    None      dot       green     
4340.png	l96            None None      holo      blue      
4341.png	mp5            2    disco     dot       green     
4342.png	tar            8    None      acog      blue      
4343.png	db             1    None      None      green     
4344.png	db             None None      dot       red       
4345.png	tar            3    None      None      blue      
4346.png	p90            4    None      acog      green     
4347.png	db             6    None      acog      purple    
4348.png	deagle         4    None      dot       purple    
4349.png	db             None medal     dot       green     
4350.png	ray_gun        9    None      None      green     
4351.png	deagle         6    None      holo      green     
4352.png	mp5            2    None      holo      blue      
4353.png	spaz           2    disco     holo      green     
4354.png	mp5            None None      dot       green     
4355.png	db             None medal     None      blue      
4356.png	spaz           6    pinata    dot       blue      
4357.png	db             7    dice      holo      blue      
4358.png	db             7    None      dot       blue      
4359.png	mp5            None dice      acog      purple    
4360.png	revolver       None None      acog      blue      
4361.png	spaz           3    disco     holo      purple    
4362.png	p90            5    None      dot       purple    
4363.png	l96            None disco     dot       green     
4364.png	revolver       6    leaf      thermal   blue      
4365.png	revolver       8    dice      acog      green     
4366.png	revolver       5    None      dot       green     
4367.png	p90            None None      acog      green     
4368.png	db             5    None      acog      green     
4369.png	spaz           4    medal     dot       purple    
4370.png	deagle         5    pinata    thermal   green     
4371.png	p90            3    None      None      green     
4372.png	db             5    leaf      dot       blue      
4373.png	ak47           None dice      acog      green     
4374.png	p90            None disco     dot       green     
4375.png	deagle         None leaf      dot       green     
4376.png	revolver       None leaf      thermal   green     
4377.png	tar            1    disco     None      blue      
4378.png	deagle         2    None      thermal   blue      
4379.png	spaz           None leaf      None      blue      
4380.png	p90            5    disco     dot       green     
4381.png	db             2    dice      acog      green     
4382.png	ak47           1    leaf      acog      blue      
4383.png	hunting_rifle  4    dice      holo      blue      
4384.png	hunting_rifle  1    None      acog      green     
4385.png	hunting_rifle  None leaf      None      blue      
4386.png	l96            2    None      None      blue      
4387.png	revolver       5    medal     dot       blue      
4388.png	p90            2    leaf      dot       green     
4389.png	db             5    disco     None      blue      
4390.png	l96            3    leaf      acog      green     
4391.png	revolver       7    leaf      acog      green     
4392.png	db             None None      None      green     
4393.png	db             3    leaf      holo      blue      
4394.png	deagle         3    None      holo      purple    
4395.png	db             1    pinata    None      green     
4396.png	mp5            1    disco     dot       green     
4397.png	db             1    leaf      holo      green     
4398.png	l96            None leaf      holo      red       
4399.png	mp5            4    disco     None      blue      
4400.png	spaz           None None      None      blue      
4401.png	deagle         None pinata    acog      green     
4402.png	revolver       4    None      acog      blue      
4403.png	spaz           1    None      thermal   purple    
4404.png	revolver       4    disco     None      green     
4405.png	deagle         8    disco     None      green     
4406.png	mp5            1    None      dot       green     
4407.png	revolver       None None      holo      green     
4408.png	db             1    dice      dot       purple    
4409.png	ak47           4    pinata    dot       blue      
4410.png	deagle         2    leaf      holo      green     
4411.png	revolver       3    None      dot       green     
4412.png	deagle         3    None      acog      blue      
4413.png	p90            1    None      dot       green     
4414.png	p90            5    leaf      dot       blue      
4415.png	db             1    None      None      blue      
4416.png	revolver       1    None      None      blue      
4417.png	hunting_rifle  1    None      None      green     
4418.png	revolver       8    None      acog      blue      
4419.png	revolver       1    pinata    thermal   purple    
4420.png	revolver       7    None      None      purple    
4421.png	db             7    dice      acog      blue      
4422.png	spaz           2    None      acog      blue      
4423.png	deagle         4    leaf      dot       blue      
4424.png	db             1    None      None      green     
4425.png	l96            1    leaf      None      blue      
4426.png	revolver       8    None      None      purple    
4427.png	rpg            6    None      acog      blue      
4428.png	revolver       1    medal     acog      green     
4429.png	mp5            3    None      dot       blue      
4430.png	db             7    None      None      blue      
4431.png	revolver       7    None      acog      green     
4432.png	deagle         8    None      acog      red       
4433.png	p90            None None      None      blue      
4434.png	deagle         7    None      dot       green     
4435.png	deagle         4    None      None      blue      
4436.png	spaz           3    dice      holo      blue      
4437.png	db             1    leaf      dot       blue      
4438.png	db             4    None      holo      green     
4439.png	tar            3    None      acog      green     
4440.png	db             2    medal     acog      green     
4441.png	mp5            3    disco     dot       purple    
4442.png	mp5            3    disco     dot       green     
4443.png	db             1    pinata    None      green     
4444.png	spaz           None dice      acog      blue      
4445.png	deagle         3    None      None      green     
4446.png	db             2    None      holo      blue      
4447.png	db             None leaf      dot       green     
4448.png	db             None None      dot       green     
4449.png	hunting_rifle  5    None      None      blue      
4450.png	mp5            6    medal     holo      green     
4451.png	spaz           None None      acog      purple    
4452.png	mp5            7    pinata    acog      blue      
4453.png	deagle         None None      None      green     
4454.png	spaz           6    None      holo      blue      
4455.png	mp5            6    None      dot       green     
4456.png	revolver       2    None      None      green     
4457.png	p90            7    None      None      green     
4458.png	db             None pinata    None      green     
4459.png	hunting_rifle  6    None      None      green     
4460.png	spaz           1    None      acog      purple    
4461.png	ray_gun        None None      holo      green     
4462.png	revolver       5    disco     holo      blue      
4463.png	deagle         1    None      acog      blue      
4464.png	db             2    None      None      green     
4465.png	l96            7    None      None      blue      
4466.png	db             4    None      dot       purple    
4467.png	db             6    None      holo      purple    
4468.png	mp5            None medal     dot       purple    
4469.png	ak47           2    medal     None      green     
4470.png	db             None None      acog      blue      
4471.png	hunting_rifle  None None      holo      green     
4472.png	deagle         8    leaf      acog      green     
4473.png	db             1    None      holo      green     
4474.png	p90            8    None      None      green     
4475.png	db             1    None      None      purple    
4476.png	deagle         5    dice      None      green     
4477.png	revolver       5    None      acog      green     
4478.png	spaz           None medal     acog      green     
4479.png	p90            2    leaf      holo      red       
4480.png	mp5            2    leaf      dot       blue      
4481.png	spaz           5    None      dot       green     
4482.png	tar            5    leaf      dot       blue      
4483.png	p90            5    leaf      dot       blue      
4484.png	deagle         1    None      acog      green     
4485.png	deagle         3    leaf      None      green     
4486.png	spaz           6    None      None      green     
4487.png	p90            4    None      dot       blue      
4488.png	l96            3    dice      acog      blue      
4489.png	revolver       6    None      acog      blue      
4490.png	p90            5    disco     None      green     
4491.png	l96            2    pinata    dot       purple    
4492.png	db             None None      None      blue      
4493.png	revolver       4    None      dot       blue      
4494.png	deagle         None None      None      blue      
4495.png	spaz           2    None      dot       blue      
4496.png	l96            None None      dot       green     
4497.png	deagle         1    None      None      blue      
4498.png	mp5            3    None      None      red       
4499.png	ak47           4    None      holo      green     
4500.png	revolver       1    None      acog      blue      
4501.png	hunting_rifle  2    None      acog      blue      
4502.png	mp5            None None      None      blue      
4503.png	hunting_rifle  None leaf      None      green     
4504.png	spaz           None None      thermal   green     
4505.png	tar            None disco     holo      green     
4506.png	l96            4    leaf      acog      blue      
4507.png	mp5            8    leaf      dot       green     
4508.png	tar            8    dice      holo      blue      
4509.png	tar            6    disco     None      purple    
4510.png	p90            3    leaf      None      blue      
4511.png	mp5            4    None      None      blue      
4512.png	db             5    None      None      green     
4513.png	db             4    None      None      blue      
4514.png	hunting_rifle  7    None      acog      green     
4515.png	p90            None leaf      acog      purple    
4516.png	l96            1    disco     holo      green     
4517.png	p90            1    None      None      green     
4518.png	deagle         1    None      None      green     
4519.png	l96            6    None      None      green     
4520.png	revolver       2    dice      dot       blue      
4521.png	deagle         4    None      None      blue      
4522.png	revolver       None None      acog      purple    
4523.png	p90            1    None      None      blue      
4524.png	deagle         None None      acog      blue      
4525.png	mp5            1    None      holo      purple    
4526.png	spaz           8    leaf      None      purple    
4527.png	db             5    None      dot       green     
4528.png	tar            4    pinata    None      blue      
4529.png	l96            5    None      dot       green     
4530.png	ray_gun        2    leaf      None      blue      
4531.png	l96            7    disco     acog      blue      
4532.png	knife          1    leaf      None      green     
4533.png	spaz           6    medal     None      blue      
4534.png	ak47           4    disco     holo      green     
4535.png	l96            8    leaf      holo      green     
4536.png	ak47           5    None      None      purple    
4537.png	deagle         None None      holo      green     
4538.png	mp5            5    None      None      blue      
4539.png	deagle         4    leaf      holo      blue      
4540.png	revolver       None leaf      None      blue      
4541.png	spaz           3    leaf      dot       green     
4542.png	mp5            3    None      dot       blue      
4543.png	ak47           8    medal     acog      blue      
4544.png	l96            3    dice      None      red       
4545.png	p90            2    None      dot       blue      
4546.png	revolver       5    None      None      purple    
4547.png	ak47           6    dice      None      green     
4548.png	revolver       6    medal     holo      green     
4549.png	l96            6    leaf      dot       green     
4550.png	spaz           1    pinata    dot       blue      
4551.png	revolver       None pinata    None      blue      
4552.png	mp5            8    medal     dot       green     
4553.png	deagle         3    None      dot       purple    
4554.png	l96            3    leaf      holo      blue      
4555.png	deagle         1    dice      None      green     
4556.png	db             None None      dot       purple    
4557.png	hunting_rifle  2    None      holo      green     
4558.png	revolver       6    disco     acog      red       
4559.png	db             None dice      None      red       
4560.png	ak47           3    leaf      holo      purple    
4561.png	revolver       1    None      holo      purple    
4562.png	deagle         1    None      acog      purple    
4563.png	revolver       1    leaf      dot       purple    
4564.png	hunting_rifle  5    dice      None      green     
4565.png	mp5            2    None      dot       green     
4566.png	revolver       3    None      holo      purple    
4567.png	deagle         5    medal     None      blue      
4568.png	l96            7    disco     holo      blue      
4569.png	spaz           2    leaf      holo      green     
4570.png	spaz           2    leaf      None      blue      
4571.png	revolver       2    None      None      green     
4572.png	mp5            1    None      None      green     
4573.png	hunting_rifle  None None      None      blue      
4574.png	l96            5    disco     None      purple    
4575.png	p90            4    leaf      holo      green     
4576.png	db             4    None      dot       blue      
4577.png	p90            6    dice      holo      blue      
4578.png	deagle         1    None      thermal   green     
4579.png	hunting_rifle  None None      acog      red       
4580.png	rpg            6    medal     None      purple    
4581.png	mp5            None leaf      holo      green     
4582.png	deagle         2    None      acog      green     
4583.png	tar            3    pinata    dot       purple    
4584.png	revolver       2    leaf      dot       red       
4585.png	db             2    leaf      acog      blue      
4586.png	tar            3    pinata    None      blue      
4587.png	spaz           3    medal     thermal   green     
4588.png	p90            None leaf      holo      purple    
4589.png	db             None None      thermal   green     
4590.png	hunting_rifle  6    None      thermal   red       
4591.png	db             6    leaf      None      purple    
4592.png	deagle         7    medal     dot       green     
4593.png	revolver       2    None      None      red       
4594.png	hunting_rifle  1    disco     dot       blue      
4595.png	revolver       8    leaf      holo      blue      
4596.png	hunting_rifle  3    None      None      purple    
4597.png	hunting_rifle  None None      None      green     
4598.png	l96            7    disco     dot       green     
4599.png	deagle         None None      acog      blue      
4600.png	l96            8    None      dot       green     
4601.png	spaz           2    None      acog      purple    
4602.png	p90            4    None      acog      blue      
4603.png	spaz           1    None      acog      blue      
4604.png	spaz           None disco     dot       blue      
4605.png	spaz           8    None      None      green     
4606.png	deagle         None None      None      blue      
4607.png	revolver       3    None      None      purple    
4608.png	db             2    leaf      None      blue      
